name,id,address,date,kWh,public_url,installationDate,uid
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 08:00:00 AM,1.13,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 09:00:00 AM,2.34,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 10:00:00 AM,3.656,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 10:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 11:00:00 AM,4.577,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 12:00:00 PM,6.506,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 01:00:00 PM,7.031,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 02:00:00 PM,9.218,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 03:00:00 PM,9.018,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 04:00:00 PM,5.266,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 05:00:00 PM,2.579,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 06:00:00 PM,3.118,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/11 07:00:00 PM,0.738,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-11 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 07:00:00 AM,0.134,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 08:00:00 AM,1.231,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 09:00:00 AM,4.096,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 10:00:00 AM,6.449,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 10:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 11:00:00 AM,9.652,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 12:00:00 PM,11.191,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 01:00:00 PM,8.344,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 02:00:00 PM,11.703,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 03:00:00 PM,9.589,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 04:00:00 PM,6.25,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 05:00:00 PM,2.282,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/12 06:00:00 PM,0.144,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-12 18:00:00
